# GSpot Codec Database for GSpot v2.7
# rev 2.7   Feb 18, 2007
#
[video codecs]
MPG4	MS MPEG-4 v1	Microsoft 	http://www.microsoft.com
MPGI	MPEG	Sigma Designs	-
MPNG	PNG images decoder	?	-
MRCA	Mrcodec	FAST Multimedia	-
MRLE	Run Length Encoding	Microsoft 	http://www.microsoft.com
MSS1	Windows Media 7 Screen Video	Microsoft	http://www.microsoft.com
MSS2	Windows Media 9 Screen Video	Microsoft	http://www.microsoft.com
MSUC	MSU LossLess	-	-
MSUD	MSU LossLess	-	-
MSV1	Microsoft video codec V1.	Microsoft	http://www.microsoft.com
MSVC	Video 1	Microsoft 	http://www.microsoft.com
MSZH	avimszh (lossless, ZLIB)	S&K LCL (Lossless Codec Library)	http://www.geocities.jp/sandk_project/
MTGA	Motion TGA images (24, 32 bpp)	-	-
MTX1	Matrox, possibly a texture format	Matrox	-
MTX2	Matrox, possibly a texture format	Matrox	-
MTX3	Matrox, possibly a texture format	Matrox	-
MTX4	Matrox, possibly a texture format	Matrox	-
MTX5	Matrox, possibly a texture format	Matrox	-
MTX6	Matrox, possibly a texture format	Matrox	-
MTX7	Matrox, possibly a texture format	Matrox	-
MTX8	Matrox, possibly a texture format	Matrox	-
MTX9	Matrox, possibly a texture format	Matrox	-
MV10	Nokia MVC video codec.	Nokia Mobile Phones	-
MV11	Nokia MVC video codec.	Nokia Mobile Phones	-
MV12	Motion Pixels Codec (old)	Motion Pixels	-
MV99	Nokia MVC video codec.	Nokia Mobile Phones	-
MVC1	Nokia MVC video codec.	Nokia Mobile Phones	-
MVC2	Nokia MVC video codec.	Nokia Mobile Phones	-
MVC9	Nokia MVC video codec.	Nokia Mobile Phones	-
MVI1	Motion Pixels MVI	-	-
MVI2	Motion Pixels MVI	-	-
MWV1	Aware Motion Wavelets	Aware Inc.	-
MYUV	Media-100 844/X Uncompressed	-	-
NAVI	SMR Codec (hack of Microsoft Mpeg-4)	IRC #shadowrealm	-
NDIG	Ahead Nero Digital MPEG-4 Codec	-	-
NHVU	NVidia Texture Format (GEForce 3)	-	-
NO16	Theory None16 64bit uncompressed RAW	-	-
NT00	NewTek LightWave HDTV YUV with Alpha-channel	http://www.newtek.com/	-
NTN1	Video Compression 1	Nogatech	-
NTN2	Nogatech Video Compression 2 (GrabBee hardware coder)	-	-
NUV1	NuppelVideo (RTjpeg2.0)	#NAME?	-
NV11	8-bit 4:1:1 YUV	*No Decoder Needed	-
NV12	8-bit Y plane 2x2 subsampling	*No Decoder Needed	-
NV21	As NV12 with U and V reversed	*No Decoder Needed	-
NVDS	nVidia Texture Format	-	-
NVHS	NVidia Texture Format (GEForce 3)	-	-
NVHU	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
NVS0	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS1	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS2	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS3	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS4	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS5	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVS6	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
NVS7	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
NVS8	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
NVS9	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
NVT0	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT1	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT2	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT3	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT4	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT5	Nvidia, probably a texture format	NVIDIA Corporation	http://www.nvidia.com/
NVT6	Not specified.	NVIDIA Corporation	http://www.nvidia.com/
